Food Name,Category,Calories (per 100g),Carbs (g),Protein (g),Fat (g),Serving Size (g),Meal Time,Dietary Suitability,Ingredients,Description
Vegetable Sandwich,Snack,214,36.4,7.5,4.6,200,Anytime,Weight Loss,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Keerai Poriyal,Side Dish,378,63.4,15.3,6.4,250,Anytime,Weight Gain,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Tamarind Rice,Lunch,40,64.2,6.5,4.0,250,Morning,Weight Gain,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Coconut Chutney,Side Dish,266,21.4,8.9,21.3,200,Morning,Weight Gain,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Vegetable Salad,Snack,199,33.6,15.6,17.7,250,Anytime,Weight Loss,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Upma,Breakfast,217,16.9,10.8,23.9,250,Evening,Immunity Boost,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Tomato Soup,Soup,150,68.6,16.0,2.0,100,Anytime,Weight Gain,Ingredients Not Available,Tomato Soup is a popular dish served as soup.
Chapati,Lunch,259,62.5,6.9,6.9,300,Evening,Balanced Diet,Ingredients Not Available,Chapati is a popular dish served as lunch.
Idli,Breakfast,93,41.5,16.1,4.9,300,Afternoon,Balanced Diet,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Bhindi Fry,Side Dish,307,45.2,9.2,19.5,100,Anytime,Balanced Diet,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Vadai,Snack,349,10.9,5.6,1.5,300,Anytime,Balanced Diet,"Urad Dal, Black Pepper, Curry Leaves, Salt",Vadai is a popular dish served as snack.
Masala Tea,Beverage,84,20.5,10.9,12.9,250,Morning,Weight Gain,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Vegetable Pulao,Lunch,253,52.4,3.5,20.1,300,Evening,Balanced Diet,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Fruits Bowl,Snack,373,51.0,8.7,23.1,250,Evening,Weight Loss,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Paneer Butter Masala,Side Dish,203,10.9,17.2,1.5,100,Anytime,Diabetic Friendly,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Lemon Rice,Lunch,217,44.1,11.4,27.0,150,Morning,Balanced Diet,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Carrot Halwa,Dessert,258,48.3,2.7,23.1,100,Anytime,Weight Loss,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Biryani,Lunch,59,33.7,10.4,26.6,100,Morning,Balanced Diet,Ingredients Not Available,Biryani is a popular dish served as lunch.
Peanut Ladoo,Snack,89,56.0,2.7,28.9,150,Morning,Weight Gain,Ingredients Not Available,Peanut Ladoo is a popular dish served as snack.
Pumpkin Sambar,Side Dish,340,68.3,13.9,15.8,250,Morning,Weight Loss,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Parotta,Dinner,298,24.2,14.5,28.2,100,Anytime,Weight Loss,Ingredients Not Available,Parotta is a popular dish served as dinner.
Pav Bhaji,Snack,359,26.6,17.7,20.6,100,Anytime,Weight Loss,Ingredients Not Available,Pav Bhaji is a popular dish served as snack.
Tamarind Rice,Lunch,44,36.5,19.9,26.5,200,Afternoon,Weight Loss,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Milkshake,Beverage,351,10.7,18.3,4.4,250,Anytime,Diabetic Friendly,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Vegetable Kurma,Side Dish,387,54.9,18.6,17.2,150,Anytime,Diabetic Friendly,Ingredients Not Available,Vegetable Kurma is a popular dish served as side dish.
Peanut Ladoo,Snack,56,23.1,16.1,18.0,150,Afternoon,Diabetic Friendly,Ingredients Not Available,Peanut Ladoo is a popular dish served as snack.
Vadai,Snack,338,56.1,15.8,7.4,150,Afternoon,Weight Gain,"Urad Dal, Black Pepper, Curry Leaves, Salt",Vadai is a popular dish served as snack.
Ragi Mudde,Lunch,213,25.1,7.9,3.3,300,Evening,Balanced Diet,Ingredients Not Available,Ragi Mudde is a popular dish served as lunch.
Biryani,Lunch,120,54.8,5.7,21.1,250,Morning,Weight Gain,Ingredients Not Available,Biryani is a popular dish served as lunch.
Chicken Curry,Side Dish,123,20.0,4.5,8.6,150,Evening,Diabetic Friendly,Ingredients Not Available,Chicken Curry is a popular dish served as side dish.
Aloo Paratha,Breakfast,132,69.2,7.9,5.0,100,Evening,Balanced Diet,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Fruits Bowl,Snack,149,47.8,3.4,19.7,150,Anytime,Weight Gain,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Upma,Breakfast,348,32.2,16.0,4.4,250,Morning,Weight Gain,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Kootu,Side Dish,156,38.1,15.3,28.9,300,Morning,Weight Gain,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Vadai,Snack,56,41.3,17.3,28.8,250,Morning,Weight Gain,"Urad Dal, Black Pepper, Curry Leaves, Salt",Vadai is a popular dish served as snack.
Chicken Curry,Side Dish,68,58.2,4.0,4.9,200,Morning,Immunity Boost,Ingredients Not Available,Chicken Curry is a popular dish served as side dish.
Biryani,Lunch,187,27.2,8.1,29.7,250,Anytime,Immunity Boost,Ingredients Not Available,Biryani is a popular dish served as lunch.
Vegetable Salad,Snack,178,25.0,7.2,15.0,150,Morning,Immunity Boost,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Fruits Bowl,Snack,95,11.1,3.4,28.6,150,Morning,Weight Gain,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Bhindi Fry,Side Dish,160,39.2,10.4,1.7,200,Anytime,Weight Loss,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Dal Tadka,Side Dish,214,17.6,12.8,11.7,200,Evening,Balanced Diet,Ingredients Not Available,Dal Tadka is a popular dish served as side dish.
Banana Chips,Snack,376,53.1,5.9,7.0,200,Afternoon,Weight Gain,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Carrot Halwa,Dessert,152,44.7,14.4,27.8,100,Anytime,Balanced Diet,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Paneer Butter Masala,Side Dish,335,43.6,14.5,5.8,250,Morning,Weight Gain,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Tomato Soup,Soup,240,26.0,13.8,15.1,150,Evening,Immunity Boost,Ingredients Not Available,Tomato Soup is a popular dish served as soup.
Vegetable Sandwich,Snack,266,61.8,10.9,17.0,150,Morning,Weight Loss,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Filter Coffee,Beverage,155,60.8,19.6,18.6,250,Afternoon,Balanced Diet,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Kuzhambu,Side Dish,255,53.5,2.0,17.0,100,Afternoon,Diabetic Friendly,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Vadai,Snack,209,22.1,14.5,2.1,100,Morning,Diabetic Friendly,"Urad Dal, Black Pepper, Curry Leaves, Salt",Vadai is a popular dish served as snack.
Upma,Breakfast,207,68.2,2.2,15.6,150,Anytime,Diabetic Friendly,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Pav Bhaji,Snack,335,23.6,8.2,23.3,100,Morning,Diabetic Friendly,Ingredients Not Available,Pav Bhaji is a popular dish served as snack.
Pumpkin Sambar,Side Dish,55,14.0,12.9,9.8,100,Anytime,Diabetic Friendly,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Ghee Rice,Lunch,105,14.1,12.9,27.6,250,Afternoon,Immunity Boost,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Pesarattu,Breakfast,242,19.6,7.5,1.3,200,Morning,Immunity Boost,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Pumpkin Sambar,Side Dish,352,16.3,14.6,9.1,100,Anytime,Weight Gain,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Vegetable Sandwich,Snack,347,15.0,17.2,15.0,100,Anytime,Diabetic Friendly,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Payasam,Dessert,211,12.2,14.2,25.7,300,Morning,Balanced Diet,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Keerai Poriyal,Side Dish,75,60.0,17.8,6.0,300,Evening,Weight Gain,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Rasam,Soup,252,15.9,13.2,24.0,300,Morning,Weight Loss,"Tamarind, Tomatoes, Spices, Coriander",Rasam is a popular dish served as soup.
Keerai Poriyal,Side Dish,72,36.8,2.9,15.2,100,Evening,Immunity Boost,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Rasam,Soup,274,67.4,16.5,29.7,100,Afternoon,Balanced Diet,"Tamarind, Tomatoes, Spices, Coriander",Rasam is a popular dish served as soup.
Kuzhambu,Side Dish,319,43.9,10.3,20.3,250,Anytime,Immunity Boost,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Milkshake,Beverage,364,46.6,11.6,7.3,100,Morning,Diabetic Friendly,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Biryani,Lunch,101,41.0,9.7,8.0,200,Evening,Balanced Diet,Ingredients Not Available,Biryani is a popular dish served as lunch.
Keerai Poriyal,Side Dish,319,42.8,5.0,16.5,100,Morning,Immunity Boost,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Coconut Chutney,Side Dish,351,61.1,9.4,14.8,150,Morning,Weight Gain,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Pesarattu,Breakfast,95,23.7,16.8,16.6,150,Evening,Diabetic Friendly,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Kuzhambu,Side Dish,214,33.9,8.9,29.6,250,Morning,Balanced Diet,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Curd Rice,Lunch,218,59.7,11.2,23.7,250,Morning,Balanced Diet,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Fruits Bowl,Snack,360,24.0,19.1,1.6,150,Afternoon,Diabetic Friendly,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Chapati,Lunch,161,13.8,14.2,8.3,100,Evening,Weight Gain,Ingredients Not Available,Chapati is a popular dish served as lunch.
Fruits Bowl,Snack,159,31.1,15.8,4.1,200,Anytime,Weight Gain,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Beans Stir Fry,Side Dish,169,54.8,2.7,29.1,300,Anytime,Immunity Boost,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Egg Curry,Side Dish,221,54.5,8.6,24.0,300,Morning,Weight Loss,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Carrot Halwa,Dessert,379,40.0,5.6,3.2,150,Morning,Immunity Boost,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Milkshake,Beverage,46,57.0,19.7,5.4,300,Afternoon,Weight Loss,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Chicken 65,Snack,96,12.9,13.8,16.2,150,Afternoon,Diabetic Friendly,Ingredients Not Available,Chicken 65 is a popular dish served as snack.
Kootu,Side Dish,269,63.5,16.3,13.3,200,Afternoon,Diabetic Friendly,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Coconut Chutney,Side Dish,317,21.7,13.4,28.9,300,Afternoon,Weight Loss,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Fish Fry,Side Dish,136,57.3,19.7,9.2,150,Evening,Weight Gain,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Bhindi Fry,Side Dish,295,12.1,12.7,1.2,100,Morning,Immunity Boost,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Curd Rice,Lunch,180,33.9,17.5,4.4,250,Evening,Immunity Boost,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Pongal,Breakfast,363,44.6,12.1,21.4,300,Evening,Weight Gain,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Fish Fry,Side Dish,186,51.6,6.6,28.8,100,Afternoon,Balanced Diet,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Vegetable Salad,Snack,184,18.4,3.4,25.2,300,Afternoon,Weight Gain,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Lemon Rice,Lunch,194,65.1,9.9,23.7,250,Morning,Balanced Diet,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Pumpkin Sambar,Side Dish,269,43.5,6.6,1.7,250,Afternoon,Weight Loss,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Fruits Bowl,Snack,326,22.6,12.3,23.3,300,Anytime,Diabetic Friendly,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Masala Tea,Beverage,174,58.3,18.4,12.0,100,Morning,Weight Loss,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Dal Tadka,Side Dish,86,36.7,3.0,13.4,150,Anytime,Diabetic Friendly,Ingredients Not Available,Dal Tadka is a popular dish served as side dish.
Thengai Sevai,Lunch,149,42.4,18.1,9.2,100,Anytime,Weight Loss,Ingredients Not Available,Thengai Sevai is a popular dish served as lunch.
Sambar,Side Dish,89,57.3,7.4,5.4,200,Afternoon,Balanced Diet,"Toor Dal, Tamarind, Vegetables, Spices",Sambar is a popular dish served as side dish.
Aloo Paratha,Breakfast,135,37.6,17.3,7.5,100,Afternoon,Diabetic Friendly,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Carrot Halwa,Dessert,350,23.1,16.9,4.5,300,Anytime,Diabetic Friendly,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Fruits Bowl,Snack,257,57.4,16.6,16.4,300,Afternoon,Balanced Diet,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Pongal,Breakfast,290,50.9,9.1,15.9,150,Afternoon,Diabetic Friendly,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Chapati,Lunch,239,35.0,12.2,28.7,100,Evening,Weight Loss,Ingredients Not Available,Chapati is a popular dish served as lunch.
Beans Stir Fry,Side Dish,51,70.0,2.3,15.0,100,Anytime,Diabetic Friendly,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Bhindi Fry,Side Dish,79,51.3,16.7,2.2,300,Anytime,Weight Loss,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Filter Coffee,Beverage,119,33.7,4.5,8.0,250,Anytime,Diabetic Friendly,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Masala Tea,Beverage,69,34.4,14.0,9.1,250,Evening,Weight Loss,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Pesarattu,Breakfast,204,34.6,7.8,5.5,200,Evening,Diabetic Friendly,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Fish Fry,Side Dish,260,29.2,9.6,28.8,200,Evening,Balanced Diet,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Mutton Curry,Side Dish,316,59.5,11.8,18.1,250,Anytime,Weight Loss,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Egg Curry,Side Dish,56,19.7,13.8,12.5,300,Morning,Weight Gain,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Vegetable Sandwich,Snack,345,19.9,3.4,20.5,300,Afternoon,Weight Loss,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Mutton Curry,Side Dish,71,40.1,13.0,20.4,300,Morning,Immunity Boost,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Vegetable Salad,Snack,149,35.8,9.6,6.4,200,Evening,Balanced Diet,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Mint Chutney,Side Dish,224,11.8,6.0,9.4,150,Afternoon,Balanced Diet,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Milkshake,Beverage,171,37.0,3.3,4.3,250,Anytime,Balanced Diet,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Pav Bhaji,Snack,304,15.3,4.9,21.9,150,Morning,Diabetic Friendly,Ingredients Not Available,Pav Bhaji is a popular dish served as snack.
Pav Bhaji,Snack,173,14.1,3.5,0.8,200,Evening,Weight Gain,Ingredients Not Available,Pav Bhaji is a popular dish served as snack.
Vegetable Pulao,Lunch,284,32.5,16.5,9.5,150,Evening,Balanced Diet,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Bhindi Fry,Side Dish,43,48.5,2.1,28.4,300,Anytime,Weight Gain,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Lemon Rice,Lunch,63,13.5,11.7,8.8,300,Anytime,Diabetic Friendly,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Fruits Bowl,Snack,337,59.9,7.4,13.1,150,Morning,Diabetic Friendly,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Dal Tadka,Side Dish,215,44.0,12.8,14.6,300,Anytime,Diabetic Friendly,Ingredients Not Available,Dal Tadka is a popular dish served as side dish.
Lemon Rice,Lunch,288,28.0,11.0,3.0,250,Anytime,Balanced Diet,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Milkshake,Beverage,316,28.0,2.5,27.7,250,Evening,Weight Loss,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Aloo Paratha,Breakfast,218,40.8,3.4,20.6,250,Morning,Immunity Boost,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Idli,Breakfast,348,27.6,8.6,26.8,250,Anytime,Weight Loss,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Biryani,Lunch,303,43.8,5.8,7.7,200,Anytime,Balanced Diet,Ingredients Not Available,Biryani is a popular dish served as lunch.
Egg Curry,Side Dish,123,69.8,16.1,2.1,150,Anytime,Weight Loss,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Tomato Soup,Soup,381,23.8,11.4,24.3,300,Evening,Immunity Boost,Ingredients Not Available,Tomato Soup is a popular dish served as soup.
Chicken Curry,Side Dish,252,33.8,19.7,6.2,200,Afternoon,Diabetic Friendly,Ingredients Not Available,Chicken Curry is a popular dish served as side dish.
Pumpkin Sambar,Side Dish,290,64.9,14.4,20.5,300,Evening,Diabetic Friendly,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Kuzhambu,Side Dish,394,53.3,16.5,10.9,150,Afternoon,Weight Gain,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Vegetable Pulao,Lunch,180,68.9,14.8,1.2,150,Afternoon,Balanced Diet,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Mint Chutney,Side Dish,147,39.0,5.4,12.9,150,Afternoon,Weight Loss,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Payasam,Dessert,148,37.3,18.1,29.8,100,Afternoon,Balanced Diet,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Kuzhambu,Side Dish,185,43.1,3.7,27.3,300,Morning,Immunity Boost,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Chicken 65,Snack,129,39.0,8.2,11.2,300,Evening,Immunity Boost,Ingredients Not Available,Chicken 65 is a popular dish served as snack.
Banana Chips,Snack,103,54.7,2.3,11.0,150,Morning,Immunity Boost,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Fish Fry,Side Dish,337,44.5,15.9,16.2,250,Afternoon,Diabetic Friendly,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Mint Chutney,Side Dish,177,11.4,13.2,19.0,100,Morning,Diabetic Friendly,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Fruits Bowl,Snack,170,25.8,16.4,26.0,100,Morning,Balanced Diet,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Filter Coffee,Beverage,133,26.0,5.6,24.4,250,Evening,Weight Loss,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Coconut Chutney,Side Dish,124,24.1,17.4,23.1,300,Evening,Balanced Diet,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Kootu,Side Dish,362,34.2,19.9,27.4,250,Afternoon,Weight Gain,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Masala Tea,Beverage,394,40.2,18.9,20.0,100,Anytime,Immunity Boost,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Egg Curry,Side Dish,261,21.4,9.7,20.7,250,Anytime,Weight Loss,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Banana Chips,Snack,106,59.4,5.1,23.7,300,Afternoon,Weight Gain,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Vegetable Pulao,Lunch,391,10.9,6.0,3.5,100,Afternoon,Weight Gain,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Vegetable Sandwich,Snack,343,19.0,4.4,24.4,250,Morning,Weight Gain,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Thengai Sevai,Lunch,300,57.7,7.0,16.5,150,Evening,Weight Gain,Ingredients Not Available,Thengai Sevai is a popular dish served as lunch.
Banana Chips,Snack,53,35.1,15.1,23.8,100,Evening,Weight Gain,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Milkshake,Beverage,255,56.5,6.8,5.3,200,Anytime,Diabetic Friendly,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Upma,Breakfast,53,59.1,15.8,21.5,300,Evening,Immunity Boost,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Vegetable Sandwich,Snack,159,22.1,19.5,15.6,100,Afternoon,Weight Gain,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Mint Chutney,Side Dish,252,45.3,14.7,4.4,300,Afternoon,Immunity Boost,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Vegetable Salad,Snack,131,36.2,7.6,7.5,200,Anytime,Weight Gain,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Fish Fry,Side Dish,107,55.6,9.4,10.8,200,Afternoon,Weight Loss,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Biryani,Lunch,120,54.3,13.7,11.1,200,Evening,Immunity Boost,Ingredients Not Available,Biryani is a popular dish served as lunch.
Thengai Sevai,Lunch,212,60.2,7.4,16.9,150,Anytime,Diabetic Friendly,Ingredients Not Available,Thengai Sevai is a popular dish served as lunch.
Kuzhambu,Side Dish,278,22.7,6.5,25.6,100,Afternoon,Weight Loss,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Pesarattu,Breakfast,319,33.8,2.5,12.1,150,Afternoon,Weight Gain,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Fruits Bowl,Snack,355,59.6,3.7,3.7,200,Anytime,Weight Loss,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Carrot Halwa,Dessert,146,20.9,19.6,2.5,300,Evening,Diabetic Friendly,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Masala Tea,Beverage,243,32.9,9.2,24.2,300,Anytime,Immunity Boost,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Coconut Chutney,Side Dish,312,25.8,14.6,18.4,200,Evening,Balanced Diet,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Vegetable Salad,Snack,159,41.5,12.4,27.1,100,Morning,Diabetic Friendly,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Dosa,Breakfast,231,24.6,7.2,29.7,300,Afternoon,Weight Loss,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Carrot Halwa,Dessert,382,63.0,4.3,27.8,100,Anytime,Diabetic Friendly,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Dosa,Breakfast,96,28.0,2.3,28.2,300,Anytime,Immunity Boost,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Idli,Breakfast,279,35.4,8.4,15.9,150,Morning,Immunity Boost,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Vegetable Sandwich,Snack,60,31.8,5.0,12.8,300,Afternoon,Balanced Diet,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Paneer Butter Masala,Side Dish,368,17.5,10.2,3.4,100,Morning,Diabetic Friendly,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Lemon Rice,Lunch,191,54.8,2.5,11.9,150,Morning,Weight Loss,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Pongal,Breakfast,302,15.7,17.0,29.2,250,Morning,Weight Gain,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Sambar,Side Dish,222,14.1,7.1,21.3,100,Morning,Immunity Boost,"Toor Dal, Tamarind, Vegetables, Spices",Sambar is a popular dish served as side dish.
Tamarind Rice,Lunch,270,47.1,12.1,20.0,200,Anytime,Immunity Boost,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Egg Dosa,Breakfast,180,57.3,10.9,2.1,250,Morning,Weight Gain,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Upma,Breakfast,255,63.9,17.4,4.0,150,Morning,Weight Loss,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Lemon Rice,Lunch,333,68.8,19.1,28.0,200,Morning,Immunity Boost,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Biryani,Lunch,175,29.6,9.0,27.6,250,Morning,Weight Gain,Ingredients Not Available,Biryani is a popular dish served as lunch.
Vegetable Kurma,Side Dish,102,17.3,10.4,23.8,300,Anytime,Weight Loss,Ingredients Not Available,Vegetable Kurma is a popular dish served as side dish.
Beans Stir Fry,Side Dish,51,54.2,6.9,8.6,100,Evening,Weight Gain,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Vegetable Sandwich,Snack,265,57.8,20.0,7.1,250,Morning,Weight Loss,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Ghee Rice,Lunch,110,44.8,2.9,13.9,300,Afternoon,Immunity Boost,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Kuzhambu,Side Dish,65,10.3,9.0,4.0,200,Afternoon,Immunity Boost,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Payasam,Dessert,198,60.9,11.7,25.7,300,Anytime,Weight Loss,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Lemon Rice,Lunch,194,60.9,10.2,14.3,300,Afternoon,Diabetic Friendly,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Vegetable Kurma,Side Dish,374,26.9,11.1,29.4,300,Evening,Weight Gain,Ingredients Not Available,Vegetable Kurma is a popular dish served as side dish.
Keerai Poriyal,Side Dish,326,12.8,8.4,22.9,150,Morning,Immunity Boost,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Coconut Chutney,Side Dish,253,62.4,7.6,14.6,150,Evening,Diabetic Friendly,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Tamarind Rice,Lunch,336,55.4,10.9,11.3,300,Evening,Diabetic Friendly,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Pav Bhaji,Snack,240,66.3,9.2,13.4,100,Evening,Balanced Diet,Ingredients Not Available,Pav Bhaji is a popular dish served as snack.
Egg Curry,Side Dish,240,66.5,8.4,5.1,100,Morning,Weight Loss,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
